Program Title	Video Path	Status	Error
For Social Media (Horizontal) Lesson 4 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 4 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 5 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 5 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 1.1	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Hustle Hard\Lesson 1.1.mp4	pending	
For Social Media (Horizontal) Lesson 1.2	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Hustle Hard\Lesson 1.2.mp4	pending	
For Social Media (Horizontal) Lesson 4.2	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Hustle Hard\Lesson 4.2.mp4	pending	
For Social Media (Horizontal) Lesson 4.4	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Hustle Hard\Lesson 4.4.mp4	pending	
For Social Media (Horizontal) Lesson 5.2	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Hustle Hard\Lesson 5.2.mp4	pending	
For Social Media (Horizontal) Lesson 1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 1 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 10 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 10 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 4 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 4 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 6 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 6 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 9 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Master Consistency\Lesson 9 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 1 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Mastering Risk and Uncertainty\Lesson 1 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 2 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Mastering Risk and Uncertainty\Lesson 2 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 4 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Mastering Risk and Uncertainty\Lesson 4 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 7 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Mastering Risk and Uncertainty\Lesson 7 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 9 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Mastering Risk and Uncertainty\Lesson 9 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 1.1 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 1.1 .mp4	pending	
For Social Media (Horizontal) Lesson 1.3 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 1.3 .mp4	pending	
For Social Media (Horizontal) Lesson 2.1 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 2.1 .mp4	pending	
For Social Media (Horizontal) Lesson 2.2 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 2.2 .mp4	pending	
For Social Media (Horizontal) Lesson 3.1 mp4	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 3.1 mp4.mp4	pending	
For Social Media (Horizontal) Lesson 3.2 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 3.2 .mp4	pending	
For Social Media (Horizontal) Lesson 3.3 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 3.3 .mp4	pending	
For Social Media (Horizontal) Lesson 4.1	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 4.1.mp4	pending	
For Social Media (Horizontal) Lesson 4.3 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 4.3 .mp4	pending	
For Social Media (Horizontal) Lesson 5.2 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 5.2 .mp4	pending	
For Social Media (Horizontal) Lesson 6.2 	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Micro Business Protocol\Lesson 6.2 .mp4	pending	
For Social Media (Horizontal) Lesson 1.2	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Secret to Transformation\Lesson 1.2.mp4	pending	
For Social Media (Horizontal) Lesson 2.1	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Secret to Transformation\Lesson 2.1.mp4	pending	
For Social Media (Horizontal) Lesson 3.1 Landscape	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Secret to Transformation\Lesson 3.1 Landscape.mp4	pending	
For Social Media (Horizontal) Lesson 3.2	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Secret to Transformation\Lesson 3.2.mp4	pending	
For Social Media (Horizontal) Lesson 4.1	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Secret to Transformation\Lesson 4.1.mp4	pending	
For Social Media (Horizontal) Lesson 1 Viral Cut-	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 1 Viral Cut-.mp4	pending	
For Social Media (Horizontal) Lesson 2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 2 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 2.2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 2.2 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 3 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 4 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 4 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 6 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Zero to One Million\Lesson 6 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 1 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2.1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 2.1 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2.2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 2.2 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2.3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 2.3 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 3 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\9 to 5 Exit Strategy\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Vertical) Chapter 02 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Business Warfare\Chapter 02 ---- reframed.mp4	pending	
For Social Media (Vertical) Chapter 03 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Business Warfare\Chapter 03 ---- reframed.mp4	pending	
For Social Media (Vertical) Chapter 05 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Business Warfare\Chapter 05 ---- reframed.mp4	pending	
For Social Media (Vertical) Chapter 07 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Business Warfare\Chapter 07 ---- reframed.mp4	pending	
For Social Media (Vertical) Chapter 08 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Business Warfare\Chapter 08 ---- reframed.mp4	pending	
For Social Media (Vertical) Lesson 1.1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 1.1 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 1.2  Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 1.2  Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2  Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 2  Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2.1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 2.1 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 3 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 4 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 4 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Compund Effect\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Vertical) lesson 1.1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Hustle Hard\lesson 1.1.mp4	pending	
For Social Media (Vertical) Lesson 1.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Hustle Hard\Lesson 1.2.mp4	pending	
For Social Media (Vertical) Lesson 4.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Hustle Hard\Lesson 4.2.mp4	pending	
For Social Media (Vertical) Lesson 4.4	E:\Business Psychology - Final Exports\For Social Media\Vertical\Hustle Hard\Lesson 4.4.mp4	pending	
For Social Media (Vertical) Lesson 5.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Hustle Hard\Lesson 5.2.mp4	pending	
For Social Media (Vertical) Lesson 1 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 1 Viral Cuts.mp4	pending	
For Social Media (Vertical) Lesson 10 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 10 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 4 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 4 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 6 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 6 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 9 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Master Consistency\Lesson 9 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Mastering Risk and Uncertainty\Lesson 1 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Mastering Risk and Uncertainty\Lesson 2 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 4 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Mastering Risk and Uncertainty\Lesson 4 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 7 	E:\Business Psychology - Final Exports\For Social Media\Vertical\Mastering Risk and Uncertainty\Lesson 7 .mp4	pending	
For Social Media (Vertical) Lesson 9 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Mastering Risk and Uncertainty\Lesson 9 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 1.1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 1.1.mp4	pending	
For Social Media (Vertical) Lesson 1.3	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 1.3.mp4	pending	
For Social Media (Vertical) Lesson 2.1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 2.1.mp4	pending	
For Social Media (Vertical) Lesson 2.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 2.2.mp4	pending	
For Social Media (Vertical) Lesson 3.1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 3.1.mp4	pending	
For Social Media (Vertical) Lesson 3.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 3.2.mp4	pending	
For Social Media (Vertical) Lesson 3.3	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 3.3.mp4	pending	
For Social Media (Vertical) Lesson 4.1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 4.1.mp4	pending	
For Social Media (Vertical) Lesson 4.3	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 4.3.mp4	pending	
For Social Media (Vertical) Lesson 5.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 5.2.mp4	pending	
For Social Media (Vertical) Lesson 6.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Micro  Business Protocol\Lesson 6.2.mp4	pending	
For Social Media (Vertical) Lesson 1	E:\Business Psychology - Final Exports\For Social Media\Vertical\Secret to Transformation\Lesson 1.mp4	pending	
For Social Media (Vertical) Lesson 2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Secret to Transformation\Lesson 2.mp4	pending	
For Social Media (Vertical) Lesson 3.1 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Secret to Transformation\Lesson 3.1 ---- reframed.mp4	pending	
For Social Media (Vertical) Lesson 3.2	E:\Business Psychology - Final Exports\For Social Media\Vertical\Secret to Transformation\Lesson 3.2.mp4	pending	
For Social Media (Vertical) Lesson 4.1 ---- reframed	E:\Business Psychology - Final Exports\For Social Media\Vertical\Secret to Transformation\Lesson 4.1 ---- reframed.mp4	pending	
For Social Media (Vertical) Lesson 1 Viral Cut  	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 1 Viral Cut  .mp4	pending	
For Social Media (Vertical) Lesson 2 Viral Cut 	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 2 Viral Cut .mp4	pending	
For Social Media (Vertical) Lesson 2.2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 2.2 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson 3 Viral Cut 	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 3 Viral Cut .mp4	pending	
For Social Media (Vertical) Lesson 4 Viral Cut 	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 4 Viral Cut .mp4	pending	
For Social Media (Vertical) Lesson 6 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson 6 Viral Cut.mp4	pending	
For Social Media (Vertical) Lesson Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Vertical\Zero to One Million\Lesson Lesson 5 Viral Cut.mp4	pending	
Hustle Hard (Updated) Chapter 04_1	E:\Business Psychology - Final Exports\Hustle Hard\(Updated) Chapter 04_1.mp4	pending	
Hustle Hard (updated) Chapter 2_1	E:\Business Psychology - Final Exports\Hustle Hard\(updated) Chapter 2_1.mp4	pending	
Hustle Hard (Updated) Chapter 3_1	E:\Business Psychology - Final Exports\Hustle Hard\(Updated) Chapter 3_1.mp4	pending	
Hustle Hard (Updated) Chapter 5_1	E:\Business Psychology - Final Exports\Hustle Hard\(Updated) Chapter 5_1.mp4	pending	
Hustle Hard Chapter 01 New	E:\Business Psychology - Final Exports\Hustle Hard\Chapter 01 New.mp4	pending	
Hustle Hard Chapter 06 Hustle Hard	E:\Business Psychology - Final Exports\Hustle Hard\Chapter 06 Hustle Hard.mp4	pending	
Mastering Consistency Lesson 1_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 1_1.mp4	pending	
Mastering Consistency Lesson 10_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 10_1.mp4	pending	
Mastering Consistency Lesson 2_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 2_1.mp4	pending	
Mastering Consistency Lesson 3_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 3_1.mp4	pending	
Mastering Consistency Lesson 4_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 4_1.mp4	pending	
Mastering Consistency Lesson 5_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 5_1.mp4	pending	
Mastering Consistency Lesson 6_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 6_1.mp4	pending	
Mastering Consistency Lesson 7_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 7_1.mp4	pending	
Mastering Consistency Lesson 8_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 8_1.mp4	pending	
Mastering Consistency Lesson 9_1	E:\Business Psychology - Final Exports\Mastering Consistency\Lesson 9_1.mp4	pending	
Mastering Risk and Uncertainty Lesson 1	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 1.mp4	pending	
Mastering Risk and Uncertainty Lesson 10	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 10.mp4	pending	
Mastering Risk and Uncertainty Lesson 11	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 11.mp4	pending	
Mastering Risk and Uncertainty Lesson 2	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 2.mp4	pending	
Mastering Risk and Uncertainty Lesson 3	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 3.mp4	pending	
Mastering Risk and Uncertainty Lesson 4	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 4.mp4	pending	
Mastering Risk and Uncertainty Lesson 5	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 5.mp4	pending	
Mastering Risk and Uncertainty Lesson 6	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 6.mp4	pending	
Mastering Risk and Uncertainty Lesson 7	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 7.mp4	pending	
Mastering Risk and Uncertainty Lesson 8	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 8.mp4	pending	
Mastering Risk and Uncertainty Lesson 9	E:\Business Psychology - Final Exports\Mastering Risk and Uncertainty\Lesson 9.mp4	pending	
Money Philosophy Lesson1_Money Was Never Meant to rule us_1	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 1\Lesson1_Money Was Never Meant to rule us_1.mp4	pending	
Money Philosophy Lesson 10	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 10\Lesson 10.mp4	pending	
Money Philosophy Lesson 11	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 11\Lesson 11.mp4	pending	
Money Philosophy Lesson 2	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 2\Lesson 2.mp4	pending	
Money Philosophy Lesson 3	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 3\Lesson 3.mp4	pending	
Money Philosophy Lesson 4	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 4\Lesson 4.mp4	pending	
Money Philosophy Lesson 5	E:\Business Psychology - Final Exports\Money Philosophy\With Thumbnail\Lesson 5\Lesson 5.mp4	pending	
